Datum;Eröffnung;Hoch;Tief;Schluss;Währung;Volumen
02.11.2021;85;85.22;83.76;84.44;USD;0
03.11.2021;83.31;83.61;81.24;81.29;EUR;0
04.11.2021;82.74;84.51;80.25;80.4;EUR;0
05.11.2021;80.72;83.17;80.62;82.71;EUR;0
08.11.2021;83.53;83.98;82.92;83.19;EUR;0
09.11.2021;83.43;84.6;83.32;84.57;USD;0
10.11.2021;85.1;85.38;82.66;82.74;USD;0
11.11.2021;82.72;83.39;81.64;82.72;USD;0
12.11.2021;82.24;82.72;81.27;81.78;USD;0
15.11.2021;81.85;81.88;80.66;81.86;USD;0
16.11.2021;82.89;83;81.53;82.58;USD;0
17.11.2021;81.87;82.24;79.76;79.81;USD;0
18.11.2021;79.59;81.42;79.59;81.38;USD;0
19.11.2021;82.1;82.17;78.06;78.83;USD;0
22.11.2021;78.82;80.08;78.13;79.66;USD;0
23.11.2021;79.17;82.51;78.57;82.41;USD;0
24.11.2021;82.68;83.01;81.76;82.14;USD;0
25.11.2021;82.03;82.46;81.71;82.34;USD;0
26.11.2021;78.14;78.17;72.31;72.88;USD;0
29.11.2021;75.9;76.98;74.01;74.72;USD;0
30.11.2021;71.72;72.33;70.19;70.45;USD;0
01.12.2021;71.97;72.82;68.87;69.61;USD;0
02.12.2021;70.01;70.68;65.83;69.5;USD;0
03.12.2021;71.8;72.58;69.62;69.82;USD;0
06.12.2021;71.54;72.61;70.82;72.54;USD;0
07.12.2021;74.28;76.25;74.09;75.74;USD;0
08.12.2021;74.98;76.37;74.44;76.12;USD;0
09.12.2021;76.16;76.16;74.52;74.68;USD;0
10.12.2021;74.36;75.67;74.08;75.03;USD;0
13.12.2021;75.81;75.88;74.19;74.43;USD;0
14.12.2021;74.59;75.14;72.59;73.55;USD;0
15.12.2021;73.31;73.69;72.47;73.52;USD;0
16.12.2021;74.52;75.59;74.02;75.25;USD;0
17.12.2021;74.45;74.69;72.67;73.27;USD;0
20.12.2021;71.34;71.73;69.31;70.87;USD;0
21.12.2021;72.14;74.21;71.21;74.04;USD;0
22.12.2021;73.95;75.09;73.63;75.03;USD;0
23.12.2021;75.33;76.58;74.8;76.53;USD;0
27.12.2021;76.23;78.91;75.87;78.74;USD;0
28.12.2021;78.57;79.85;78.56;78.94;USD;0
29.12.2021;79.32;80.13;78.16;79.09;USD;0
30.12.2021;79;79.28;78.78;78.8;USD;0
03.01.2022;78.84;79.25;77.01;78.71;USD;0
04.01.2022;78.75;80.39;78.75;80.21;USD;0
05.01.2022;79.88;81.5;79.54;81.26;USD;0
06.01.2022;80.65;82.84;80.36;81.83;USD;0
07.01.2022;82.47;83;81.52;81.64;USD;0
10.01.2022;82.18;82.31;80.66;81.18;USD;0
11.01.2022;81.56;83.94;81.39;83.52;USD;0
12.01.2022;83.7;85.2;83.63;84.8;USD;0
13.01.2022;84.45;85.09;84.06;84.69;USD;0
14.01.2022;84.9;86.16;84.42;86.16;USD;0
17.01.2022;86.16;86.66;85.55;86.42;USD;0
18.01.2022;87.51;87.82;86.61;87.41;USD;0
19.01.2022;87.8;89.14;87.62;88.28;USD;0
20.01.2022;87.9;89.43;87.49;88.72;USD;0
21.01.2022;87.39;88.21;86.46;87.64;USD;0
24.01.2022;88.13;88.34;85;86.42;USD;0
25.01.2022;87.01;88.12;86.18;88.02;USD;0
26.01.2022;88.61;90.48;88.54;89.81;USD;0
27.01.2022;89.48;91.04;89.16;89.78;USD;0
28.01.2022;89.88;91.65;89.46;90.38;USD;0
31.01.2022;90.77;91.49;90.53;91.16;USD;0
01.02.2022;89.29;89.93;87.73;88.99;USD;0
02.02.2022;89.18;90.47;88.27;89.42;USD;0
03.02.2022;89.22;91.1;88.03;91.03;USD;0
04.02.2022;91.65;93.68;91.6;93.44;USD;0
07.02.2022;92.98;93.48;92.12;92.72;USD;0
08.02.2022;91.78;92.35;89.94;91.1;USD;0
09.02.2022;90.19;92.04;90.03;91.43;USD;0
10.02.2022;91.66;93.05;90.92;91.43;USD;0
11.02.2022;91.41;95.62;91.29;95.07;USD;0
14.02.2022;93.98;95.98;93.5;95.97;USD;0
15.02.2022;95.01;95.16;92.08;93.14;USD;0
16.02.2022;93.72;96.06;93.62;94.91;USD;0
17.02.2022;93.77;94.37;92.19;93.29;USD;0
18.02.2022;92.38;93.95;90.29;93.22;USD;0
21.02.2022;93.79;96.4;93.36;96.4;USD;0
22.02.2022;99.28;99.41;95.82;96.89;USD;0
23.02.2022;96.94;98.63;95.83;96.8;USD;0
24.02.2022;102.35;105.76;100.26;100.49;USD;0
25.02.2022;101.73;101.85;95.99;97.15;USD;0
28.02.2022;102.18;103.22;99.26;100.93;USD;0
01.03.2022;101.01;107.45;100.69;105.7;USD;0
02.03.2022;111.55;113.88;107.21;111.96;USD;0
03.03.2022;118.76;118.76;109.54;112.14;USD;0
04.03.2022;111.04;115.74;109.66;114.72;USD;0
07.03.2022;127.24;127.75;119.31;123.41;USD;0
08.03.2022;125.28;133.06;124.04;129.8;USD;0
09.03.2022;129.24;130.66;107.96;111.7;USD;0
10.03.2022;115.05;118.3;109.11;110.39;USD;0
11.03.2022;111.24;113.87;108.1;111.9;USD;0
14.03.2022;109.82;109.83;103.53;105.17;USD;0
15.03.2022;101.16;102.17;97.5;98.93;USD;0
16.03.2022;103.18;103.18;97.03;97.46;USD;0
17.03.2022;101.67;107.47;100.75;107.27;USD;0
18.03.2022;108.04;108.23;105.81;107.88;USD;0
21.03.2022;112.34;116.03;111.02;116;USD;0
22.03.2022;117.16;117.16;112.73;115.49;USD;0
23.03.2022;116.69;122.3;116.26;121.69;USD;0
24.03.2022;122.49;122.98;117;117.64;USD;0
25.03.2022;117.55;120.9;115.27;119.86;USD;0
28.03.2022;116.19;116.81;111.24;112.73;USD;0
29.03.2022;111.69;114.77;104.98;110.62;USD;0
30.03.2022;113.01;114.77;111.38;112.73;USD;0
31.03.2022;108.88;109.63;105.85;108.19;USD;0
01.04.2022;102.78;105.92;102.57;104.49;USD;0
04.04.2022;105.25;108.58;103.15;106.57;USD;0
05.04.2022;108.33;109.39;106.43;107.42;USD;0
06.04.2022;106.76;108.66;101.12;101.54;USD;0
07.04.2022;102.2;103.39;98.47;100.01;USD;0
08.04.2022;100.75;102.06;100.02;101.6;USD;0
11.04.2022;100.4;101.61;97.68;98.22;USD;0
12.04.2022;101.23;105.52;100.17;104.56;USD;0
13.04.2022;104.68;108.75;104.61;108.68;USD;0
14.04.2022;107.44;111.19;106.68;111.17;USD;0
19.04.2022;112.32;112.64;106.87;107.92;USD;0
20.04.2022;108.47;108.94;104.68;107.17;USD;0
21.04.2022;108.77;109.78;107.07;107.45;USD;0
22.04.2022;107.55;108.01;105.75;106.67;USD;0
25.04.2022;102.75;102.82;100.24;100.59;USD;0
26.04.2022;102.82;106.09;101.14;105.74;USD;0
27.04.2022;106.07;106.31;103.25;105.42;USD;0
28.04.2022;104.18;107.49;104.18;107.46;USD;0
29.04.2022;108.35;110.28;107.8;109.39;USD;0
02.05.2022;106.33;108.2;103.19;107.89;USD;0
03.05.2022;107.1;107.54;104.97;105.4;USD;0
04.05.2022;106.38;110.32;106.15;110.21;USD;0
05.05.2022;110.89;113.8;110;113.45;USD;0
06.05.2022;111.6;113.49;110.99;112.03;USD;0
09.05.2022;111.16;112.07;105.51;105.77;USD;0
10.05.2022;105.17;106.8;101.76;103.34;USD;0
11.05.2022;105.19;108.24;104.3;107.3;USD;0
12.05.2022;106.19;108.58;104.71;106.98;USD;0
13.05.2022;108.81;111.46;107.88;111.21;USD;0
16.05.2022;110.16;114.62;109.64;114.34;USD;0
17.05.2022;114.55;115.63;113.07;113.85;USD;0
18.05.2022;112.82;114.09;108.69;108.84;USD;0
19.05.2022;110.56;111.66;105.71;111.52;USD;0
20.05.2022;111.96;113.05;111.19;112.78;USD;0
23.05.2022;113.51;114.22;111.97;112.8;USD;0
24.05.2022;112.03;114.54;111.88;113.5;USD;0
25.05.2022;114.49;115.24;113.06;113.79;USD;0
26.05.2022;114.37;117.61;114.24;117.61;USD;0
27.05.2022;117.02;119.5;116.68;118.97;USD;0
30.05.2022;119.75;121.72;119.71;121.72;USD;0
31.05.2022;123.4;124.46;122.82;122.82;USD;0
01.06.2022;116.75;118.55;116.53;116.78;USD;0
02.06.2022;114.28;118.17;112.68;117.53;USD;0
03.06.2022;117.65;119.95;116.2;119.74;USD;0
06.06.2022;120.09;120.74;118.81;119.79;USD;0
07.06.2022;120.13;121.08;118.61;119.55;USD;0
08.06.2022;120.98;124.31;120.67;123.99;USD;0
09.06.2022;123.42;123.81;122.69;123.53;USD;0
10.06.2022;122.67;124.29;120.66;121.76;USD;0
13.06.2022;119.97;123.56;119.14;122.5;USD;0
14.06.2022;123.26;125.16;121.87;122.26;USD;0
15.06.2022;120.96;121.61;119.31;120.26;USD;0
16.06.2022;119.18;120.09;115.58;119.78;USD;0
17.06.2022;119.5;121.14;111.86;112;USD;0
20.06.2022;113.45;114.05;111.64;113.74;USD;0
21.06.2022;115.19;116.24;114.2;114.47;USD;0
22.06.2022;108.87;112.45;107.17;112.32;USD;0
23.06.2022;109.53;112.57;109.06;110.51;USD;0
24.06.2022;110.15;113.98;109.27;112.44;USD;0
27.06.2022;113.25;115.98;111.82;115.74;USD;0
28.06.2022;116.86;118.03;115.94;117.75;USD;0
29.06.2022;117.03;120.37;116.63;116.99;USD;0
30.06.2022;115.22;116.52;114.13;114.9;USD;0
01.07.2022;108.64;112.41;108.26;112;USD;0
04.07.2022;111.86;113.98;110.62;113.54;USD;0
05.07.2022;113.39;114.11;101.23;101.25;USD;0
06.07.2022;105.02;105.54;98.58;100.33;USD;0
07.07.2022;100.85;106.3;100.26;105.31;USD;0
08.07.2022;105.15;107.44;103.77;106.75;USD;0
11.07.2022;105.34;107.19;103.81;106.79;USD;0
12.07.2022;105.39;105.41;99.51;99.87;USD;0
13.07.2022;100.72;101.1;98.33;99.89;USD;0
14.07.2022;99.17;99.44;94.61;98.58;USD;0
15.07.2022;99.24;102.53;98.28;101.1;USD;0
18.07.2022;103.67;106.27;102.66;105.65;USD;0
19.07.2022;106.31;107.59;103.74;107.45;USD;0
20.07.2022;106.18;107.4;105.14;106.28;USD;0
21.07.2022;106.14;106.41;101.51;104.45;USD;0
22.07.2022;105.26;105.49;101.89;103.88;USD;0
25.07.2022;102.09;105.26;101.73;104.57;USD;0
26.07.2022;106.92;107.29;103.98;104.94;USD;0
27.07.2022;104.51;106.94;103.71;106.02;USD;0
28.07.2022;107.88;109.03;105.97;107.09;USD;0
29.07.2022;107.89;110.67;107.89;109.9;USD;0
01.08.2022;103.27;104.32;99.15;99.57;USD;0
02.08.2022;100.26;102.36;98.46;101.41;USD;0
03.08.2022;99.98;102.41;97.05;97.51;USD;0
04.08.2022;96.73;97.63;93.28;94.06;USD;0
05.08.2022;94.75;96.39;92.77;95.02;USD;0
08.08.2022;95.74;96.57;93.08;96.1;USD;0
09.08.2022;95.88;98.34;95.02;96.62;USD;0
10.08.2022;95.57;97.81;93.65;97.81;USD;0
11.08.2022;97.3;100.04;96.62;100.01;USD;0
12.08.2022;99.55;100.29;97;98.38;USD;0
15.08.2022;97.19;97.39;92.82;95.14;USD;0
16.08.2022;94.16;95.91;91.95;91.95;USD;0
17.08.2022;93.02;94.38;91.52;93.3;USD;0
18.08.2022;93.49;97.42;93.14;97.14;USD;0
19.08.2022;95.87;97.8;94.27;96.18;USD;0
22.08.2022;95.14;97.23;92.36;95.67;USD;0
23.08.2022;96.74;100.25;96.74;100.25;USD;0
24.08.2022;100.23;101.86;99.13;100.98;USD;0
25.08.2022;101.55;102.42;99.64;100.01;USD;0
26.08.2022;100.63;101.19;98.09;100.15;USD;0
29.08.2022;101.66;104.88;100.77;104.86;USD;0
30.08.2022;105.11;105.25;97.55;98.93;USD;0
31.08.2022;99.55;99.7;95.38;96.52;USD;0
01.09.2022;94.73;95.22;91.99;91.99;USD;0
02.09.2022;94.15;95.24;92.88;92.98;USD;0
05.09.2022;95.26;96.98;95;95.23;USD;0
06.09.2022;95.44;95.92;92.26;92.38;USD;0
07.09.2022;91.79;93.79;88.22;88.4;USD;0
08.09.2022;88.23;89.78;87.25;89.39;USD;0
09.09.2022;89.4;92.9;89.19;92.53;USD;0
12.09.2022;93.09;95.18;92.53;93.86;USD;0
13.09.2022;94.87;95.52;91.07;93.13;USD;0
14.09.2022;92.42;95.8;92.33;94.9;USD;0
15.09.2022;94.14;94.63;90.04;91.08;USD;0
16.09.2022;91.5;92.59;90.24;91.47;USD;0
19.09.2022;90.34;91.93;88.5;91.84;USD;0
20.09.2022;92.01;93.02;89.84;90.96;USD;0
21.09.2022;92.5;93.47;89.29;90.42;USD;0
22.09.2022;89.95;92.76;89.89;90.57;USD;0
23.09.2022;89.79;89.96;85.5;85.8;USD;0
26.09.2022;85.56;87.67;83.82;84.13;USD;0
27.09.2022;85.15;87.04;84.88;86.52;USD;0
28.09.2022;85.02;89.2;85.02;89.11;USD;0
29.09.2022;87.73;90.09;87.44;88.57;USD;0
30.09.2022;88.91;89.79;87.64;87.93;USD;0
03.10.2022;87.51;89.74;87.47;88.61;USD;0
04.10.2022;89.27;92.22;88.99;91.74;USD;0
05.10.2022;91.78;93.93;91.1;93.45;USD;0
06.10.2022;93.52;94.49;92.72;94.39;USD;0
07.10.2022;94.1;98.53;93.93;97.9;USD;0
10.10.2022;97.63;98.56;96.74;96.93;USD;0
11.10.2022;95.94;95.94;93.6;94.73;USD;0
12.10.2022;94.04;95.06;91.6;92.43;USD;0
13.10.2022;92.89;94.89;91.19;94.84;USD;0
14.10.2022;94.92;94.99;91.26;91.69;USD;0
17.10.2022;92.56;93.2;90.84;91.89;USD;0
18.10.2022;92.43;92.59;88.8;90.09;USD;0
19.10.2022;90.19;92.82;89.42;92.61;USD;0
20.10.2022;93.45;94.73;92.12;92.95;USD;0
21.10.2022;92.22;93.81;90.98;93.44;USD;0
24.10.2022;92.4;94.25;91.22;93.24;USD;0
25.10.2022;93.32;94.31;91.62;93.4;USD;0
26.10.2022;92.58;96.12;92.06;95.85;USD;0
27.10.2022;95.33;97.27;95.1;96.81;USD;0
28.10.2022;95.65;96.91;95;95.26;USD;0
31.10.2022;95.14;95.53;94.25;94.78;USD;0
01.11.2022;94.72;95.54;93.54;94.79;USD;0